date,text
"09 фев, 17:37",Детское пособие не смогут получить проживающие менее пяти лет в РоссииДетское пособие не смогут получить проживающие менее пяти лет в России
"09 фев, 17:20",Власти поменяют порядок уплаты НДФЛ для иностранных работниковВласти поменяют порядок уплаты НДФЛ для иностранных работников
"09 фев, 14:09",Собянин доложил Путину о росте ВРП Москвы на 28% с 2019 годаСобянин доложил Путину о росте ВРП Москвы на 28% с 2019 года
"09 фев, 13:22",Алиханов сообщил о планах фармкомпаний России выйти на саудовский рынокАлиханов сообщил о планах фармкомпаний России выйти на саудовский рынок
"09 фев, 11:23",РСТ заявил о тысячах россиян на оставшейся без авиатоплива КубеРСТ заявил о тысячах россиян на оставшейся без авиатоплива Кубе
"09 фев, 03:00",Юристы оценили идею Минфина ограничить вывоз золота за рубежЮристы оценили идею Минфина ограничить вывоз золота за рубеж
"09 фев, 00:16","РСТ рассказал, откуда в Россию стали чаще ездить туристыРСТ рассказал, откуда в Россию стали чаще ездить туристы"
"06 фев, 19:00",Российская экономика в 2025 году выросла на 1%Российская экономика в 2025 году выросла на 1%
"06 фев, 14:38",Бразилия начала покупать российскую рыбуБразилия начала покупать российскую рыбу
"06 фев, 11:57",Суд ЕС подтвердил право немецкой таможни забирать автомобили россиянСуд ЕС подтвердил право немецкой таможни забирать автомобили россиян
"05 фев, 14:41",Аксаков заявил о тенденции снижения курса доллара до 40 рублейАксаков заявил о тенденции снижения курса доллара до 40 рублей
"05 фев, 01:12","Трамп сказал, что всегда хорошо разбирался в деньгахТрамп сказал, что всегда хорошо разбирался в деньгах"
"04 фев, 18:45",Состояние Илона Маска превысило ВВП 169 стран мира. ИнфографикаСостояние Илона Маска превысило ВВП 169 стран мира. Инфографика
"03 фев, 20:09",Путин связал рост инфляции с перенастройкой налоговой системыПутин связал рост инфляции с перенастройкой налоговой системы
"03 фев, 14:07",Новак заявил о замедлении роста экономики до 1% в 2025 годуНовак заявил о замедлении роста экономики до 1% в 2025 году
"03 фев, 12:29",Задорнов оценил предельные темпы роста ВВП России в 2026 годуЗадорнов оценил предельные темпы роста ВВП России в 2026 году
"03 фев, 09:53",«Интерфакс» узнал о проекте ограничений по вывозу наличных из России«Интерфакс» узнал о проекте ограничений по вывозу наличных из России
"02 фев, 23:35",Крупнейшие нефтекомпании Европы перейдут к политике жесткой экономииКрупнейшие нефтекомпании Европы перейдут к политике жесткой экономии
"02 фев, 19:51",Ксения Шойгу возглавила фонд «Долина Менделеева»Ксения Шойгу возглавила фонд «Долина Менделеева»
"02 фев, 18:14",В АКРА рассказали о векторах развития экономики России в 2026 году
"02 фев, 16:59",Белоруссия стала крупнейшим поставщиком рыбы в Россию в 2025 годуБелоруссия стала крупнейшим поставщиком рыбы в Россию в 2025 году
"02 фев, 14:49",В России и Белоруссии решили ввести статус «товара Союза»В России и Белоруссии решили ввести статус «товара Союза»
"02 фев, 13:18",Турагенты сообщили о росте нового дешевого способа отдохнуть на МальдивахТурагенты сообщили о росте нового дешевого способа отдохнуть на Мальдивах
"02 фев, 10:00",Топ-менеджеры крупнейших компаний спрогнозировали ослабление рубляТоп-менеджеры крупнейших компаний спрогнозировали ослабление рубля
"02 фев, 00:02",АКРА спрогнозировало восстановление роста экономики России к 2027 годуАКРА спрогнозировало восстановление роста экономики России к 2027 году
"01 фев, 19:43",Индия объявила о рекордных заимствованиях на $187 млрдИндия объявила о рекордных заимствованиях на $187 млрд
"01 фев, 19:29",FT предложила не переживать из-за «трудопокалипсиса» после ИИFT предложила не переживать из-за «трудопокалипсиса» после ИИ
"01 фев, 16:40","В Европе рассказали, как от зеленой повестки вернулись к поиску нефтиВ Европе рассказали, как от зеленой повестки вернулись к поиску нефти"
"01 фев, 15:59",Правительство Таиланда признало кошек важной частью экономикиПравительство Таиланда признало кошек важной частью экономики
"31 янв, 14:28",На месторождении Тенгиз в Казахстане возобновили добычу после аварииНа месторождении Тенгиз в Казахстане возобновили добычу после аварии
"30 янв, 22:36",Путин заявил о планах существенно увеличить военный экспорт в 2026 годуПутин заявил о планах существенно увеличить военный экспорт в 2026 году
"30 янв, 20:22","В «Газпроме» заявили, что Европа отобрала 81% запасенного на зиму газаВ «Газпроме» заявили, что Европа отобрала 81% запасенного на зиму газа"
"30 янв, 16:49","Росстат объяснил, почему поездки в ОАЭ включили в расчет инфляцииРосстат объяснил, почему поездки в ОАЭ включили в расчет инфляции"
"30 янв, 16:32",Крупный бизнес в США анонсировал увольнение 52 тыс. сотрудниковКрупный бизнес в США анонсировал увольнение 52 тыс. сотрудников
"30 янв, 15:37",В Китае начались протесты после краха платформы для инвестиций в золотоВ Китае начались протесты после краха платформы для инвестиций в золото
"30 янв, 15:25",В ЛНР выдали лицензии на добычу золотаВ ЛНР выдали лицензии на добычу золота
"30 янв, 14:10","Лукашенко заявил, что «зряплаты» в Белоруссии не будетЛукашенко заявил, что «зряплаты» в Белоруссии не будет"
"30 янв, 13:13","Орешкин предположил, как изменится доля G7 в мировой экономикеОрешкин предположил, как изменится доля G7 в мировой экономике"
"30 янв, 08:47",В 2025 году году Россия экспортировала около 80 млн т продовольствияВ 2025 году году Россия экспортировала около 80 млн т продовольствия
"29 янв, 18:08",Минфин предложил ввести пошлины на экспорт алмазовМинфин предложил ввести пошлины на экспорт алмазов
"29 янв, 15:07",Минфин предложил ограничить физлицам вывоз золота за рубежМинфин предложил ограничить физлицам вывоз золота за рубеж
"29 янв, 12:28",Власти предложили новое ограничение для госзакупок импортных товаровВласти предложили новое ограничение для госзакупок импортных товаров
"29 янв, 11:22",ЛУКОЙЛ после сделки с Carlyle продолжил переговоры с другими компаниямиЛУКОЙЛ после сделки с Carlyle продолжил переговоры с другими компаниями
"29 янв, 10:26",FT оценила сокращение доходов России от продажи нефти в 2025 годуFT оценила сокращение доходов России от продажи нефти в 2025 году
"28 янв, 19:06","Песков сообщил, что идея легализации онлайн-казино будет прорабатыватьсяПесков сообщил, что идея легализации онлайн-казино будет прорабатываться"
"28 янв, 07:50","Трамп раскрыл миллиардную сумму, полученную США за счет пошлин на импортТрамп раскрыл миллиардную сумму, полученную США за счет пошлин на импорт"
"28 янв, 05:00","Более трети удаленщиков заявили, что уволятся при угрозе перевода в офисБолее трети удаленщиков заявили, что уволятся при угрозе перевода в офис"
"27 янв, 21:35",В Словакии назвали размер ущерба при прекращении поставок газа из РоссииВ Словакии назвали размер ущерба при прекращении поставок газа из России
"27 янв, 21:18",Минэк сообщил о принудительном лицензировании технологий ушедших компанийМинэк сообщил о принудительном лицензировании технологий ушедших компаний
"27 янв, 18:45",В «Росатоме» заявили о планах создать «атомный кластер» в УзбекистанеВ «Росатоме» заявили о планах создать «атомный кластер» в Узбекистане
"27 янв, 14:07",Российские Ил-114-300 и SJ100 прилетели на выставку в Индию. ВидеоРоссийские Ил-114-300 и SJ100 прилетели на выставку в Индию. Видео
"27 янв, 14:04",В России начали работу над локомотивом с ядерным реакторомВ России начали работу над локомотивом с ядерным реактором
"27 янв, 11:11",ЕС и Индия заключили «главную торговую сделку всех времен»ЕС и Индия заключили «главную торговую сделку всех времен»
"26 янв, 23:56",ЦБ оценил дефицит кадров в России
"26 янв, 17:33",В центре России зафиксировали новый рекорд потребления электричестваВ центре России зафиксировали новый рекорд потребления электричества
"26 янв, 16:11",WSJ рассказала о проблемах Ирана с продажей нефтиWSJ рассказала о проблемах Ирана с продажей нефти
"26 янв, 14:48",Reuters сообщил о письме Airbus сотрудникам об ущербе и будущих кризисахReuters сообщил о письме Airbus сотрудникам об ущербе и будущих кризисах
"26 янв, 11:39",Казахстан призвал ускорить устранение аварии на месторождении ТенгизКазахстан призвал ускорить устранение аварии на месторождении Тенгиз
