date,title
2026-02-09,Контейнерные перевозки по сети РЖД упали на 7% в январе
2026-02-09,«Аэрофлот» ведет переговоры о закупке 200 МС-21 до 2033 года
2026-02-09,Гендиректор РЖД заявил об отсутствии решения кабмина о продаже доли ФГК
2026-02-07,07.02.2026 От «Аннушки» до «Руслана»: Олег Антонов и его самолеты
2026-02-05,05.02.2026 Минтрансу предложили требовать гарантии по страховкам иностранных авиакомпаний
2026-02-05,05.02.2026 Аналитики ожидают увеличения экспортных цен на российский уголь в 2026 году
2026-02-05,05.02.2026 Крупнейшие гостиничные сети прекратили сотрудничество с «Яндекс.Путешествиями»
2026-02-04,04.02.2026 Пищепром и ритейлеры просят приравнять маркетплейсы к торговым сетям
2026-02-04,04.02.2026 Таксистское лобби просит опубликовать итоговый перечень разрешенных машин
2026-02-04,04.02.2026 В Москве закончились мощности для энергоснабжения дата-центров
2026-02-04,04.02.2026 ОАК планирует в 2029 году начать поставки Ту-214 авиакомпании S7
2026-02-03,03.02.2026 «Промомед» начал производить лекарства для животных
2026-02-03,03.02.2026 Самарский метзавод на четверть увеличит выпуск алюминиевых слитков
2026-02-03,03.02.2026 Авиакомпании в 2025 году завершили страховое урегулирование по 50 самолетам
2026-02-03,03.02.2026 «Северсталь» в 2025 году снизила чистую прибыль почти в пять раз
2026-01-28,28.01.2026 Экспорт угля через порты Дальнего Востока в 2025 году обновил рекорд
2026-01-28,28.01.2026 Кикшеринговые сервисы Whoosh и «Юрент» рассматривают варианты слияния
2026-01-28,28.01.2026 Суд оштрафовал Ozon на 200 000 рублей по делу о маркировке книги иноагента
2026-01-28,28.01.2026 Дмитрий Каменщик опроверг иностранное влияние на изъятый у него аэропорт
2026-01-27,27.01.2026 Верфь в Хабаровске начинают загружать заказами
2026-01-27,27.01.2026 Автоперевозки грузов по России стали дорожать
2026-01-27,27.01.2026 Продажи сельскохозяйственной техники в России сократились на 21%
2026-01-27,27.01.2026 Фармкомпании выпустят дополнительные партии противоопухолевого карбоплатина
2026-01-26,26.01.2026 В системе бронирования авиабилетов «Леонардо» произошел масштабный сбой
2026-01-26,26.01.2026 Политика и спекулянты разгоняют цены на золото
2026-01-26,26.01.2026 Нефтегазовый сектор России потратил в 2025 году на IT-продукты 162 млрд рублей
2026-02-09,"09.02.2026 В России локализовали производство большинства комплектующих для БПЛА Впрочем, они по-прежнему остаются зачастую дороже импортных"
2026-02-09,09.02.2026 Минтранс предложил смягчить закон о ветхих судах
2026-02-09,09.02.2026 «Шереметьево» подписало с ПСБ договор по покупке «Домодедово»
2026-02-09,09.02.2026 Ксения Собчак может снова открыть петербургский ресторан Veter
2026-02-09,09.02.2026 На маркетплейсах растет спрос на спортивное питание
2026-02-08,08.02.2026 Банк «Точка» купил крупный сервис аналитики для селлеров Mpstats
2026-02-08,08.02.2026 Добыча газа в России в 2025 году снизилась на 3%
2026-02-09,McDonald`s зарегистрировал в России товарный знак
2026-02-09,«Яндекс» может купить маркетплейс Flowwow
2026-02-09,Сумма сделок M&A в 2025 году стала минимальной за 20 лет
2026-02-09,ТЭК
2026-02-02,02.02.2026 Аналитики ожидают снижения цены на нефть в 2026 году на 10%
2026-02-01,01.02.2026 Ограничения на экспорт бензина сохранятся до августа
2026-01-29,29.01.2026 Сколько Carlyle заплатит за зарубежные активы «Лукойла»
2026-02-09,Торговля и услуги
2026-02-02,02.02.2026 Рынок сервисов оплаты покупок частями в 2025 году вырос более чем втрое
2026-02-02,02.02.2026 Госсистема учета турпотока осталась без подрядчика
2026-01-29,29.01.2026 В РФ растет спрос на зарубежные поездки на День защитника Отечества и 8 марта
2026-01-29,29.01.2026 Ритейлер «Магнит» может начать выпускать энергетики под собственным брендом
