date,text
"09 фев, 17:10",Авиакомпания «Россия» продолжит выполнять полеты на КубуАвиакомпания «Россия» продолжит выполнять полеты на Кубу
"09 фев, 16:17",Глава Росавиации назвал выгоду США от возобновления авиарейсов в РоссиюГлава Росавиации назвал выгоду США от возобновления авиарейсов в Россию
"09 фев, 15:37",«Самолет» объяснил обращение за господдержкой на ₽50 млрд«Самолет» объяснил обращение за господдержкой на ₽50 млрд
"09 фев, 11:44",«Самолет» исключил неуплату купонов по облигациям после запроса поддержки«Самолет» исключил неуплату купонов по облигациям после запроса поддержки
"09 фев, 09:52",Маркетплейсы ответили на идею уравнять их с супермаркетами за продажу едыМаркетплейсы ответили на идею уравнять их с супермаркетами за продажу еды
"09 фев, 08:53",Маск раскрыл долю заказов NASA в выручке SpaceXМаск раскрыл долю заказов NASA в выручке SpaceX
"09 фев, 00:32","Туроператоры назвали страну, куда стали активнее ездить россиянеТуроператоры назвали страну, куда стали активнее ездить россияне"
"08 фев, 22:42",В Турции оштрафовали заведение за включение в счет платы за сервис
"08 фев, 22:05","РСТ заявил, что иск ГП к «Сирена-Трэвел» не повлияет на бронированияРСТ заявил, что иск ГП к «Сирена-Трэвел» не повлияет на бронирования"
"08 фев, 21:49",Маск анонсировал массовое производство электрогрузовиков Tesla SemiМаск анонсировал массовое производство электрогрузовиков Tesla Semi
"08 фев, 15:59",Прокуратура выявила контроль криминала над системой бронирования LeonardoПрокуратура выявила контроль криминала над системой бронирования Leonardo
"08 фев, 08:43",Игорь Бабушкин опроверг информацию о планах купить пентхаус в Британии
"07 фев, 17:12",Доля машин российской сборки на рынке выросла до 59%Доля машин российской сборки на рынке выросла до 59%
"06 фев, 22:51",В США заподозрили Netflix в намерении стать монополиейВ США заподозрили Netflix в намерении стать монополией
"06 фев, 22:22",Прокуратура потребовала передать государству билетную систему LeonardoПрокуратура потребовала передать государству билетную систему Leonardo
"06 фев, 21:38",Bloomberg рассказал о провалившейся попытке ЛУКОЙЛа выйти на рынок зернаBloomberg рассказал о провалившейся попытке ЛУКОЙЛа выйти на рынок зерна
"06 фев, 18:48",«Росатом» исключил продажу доли в ГК «Дело» после ходатайства Шишкарева«Росатом» исключил продажу доли в ГК «Дело» после ходатайства Шишкарева
"06 фев, 18:01",Экс-жену инвестора Галицкого арестовали за вымогательство у бывшего мужаЭкс-жену инвестора Галицкого арестовали за вымогательство у бывшего мужа
"06 фев, 16:52",Совладелец ГК «Дело» решил купить 49% управляющей компании у «Росатома»Совладелец ГК «Дело» решил купить 49% управляющей компании у «Росатома»
"06 фев, 13:44",Reuters узнал о переговорах конкурентов Carlyle по активам ЛУКОЙЛаReuters узнал о переговорах конкурентов Carlyle по активам ЛУКОЙЛа
"06 фев, 13:19",Сооснователь компании Маска Бабушкин купит дом в Британии за £57 млнСооснователь компании Маска Бабушкин купит дом в Британии за £57 млн
"06 фев, 11:50",Бывший владелец Домодедово подал новую жалобу в Верховный судБывший владелец Домодедово подал новую жалобу в Верховный суд
"06 фев, 10:53",WSJ раскрыла детали сделки компаний Маска — крупнейшей по стоимости в СШАWSJ раскрыла детали сделки компаний Маска — крупнейшей по стоимости в США
"06 фев, 10:05",В Toyota сменится генеральный директорВ Toyota сменится генеральный директор
"06 фев, 09:41",Трамп запустил сайт для покупки лекарств дешевле и без страховкиТрамп запустил сайт для покупки лекарств дешевле и без страховки
"06 фев, 07:00","Кредитор «Самолета» усомнился, что девелопер получит льготный заем"
"06 фев, 06:00","В Госдуме усомнились, что «Самолет» получит помощь из бюджета"
"05 фев, 20:16",В США сообщили о самых массовых увольнениях с 2009 годаВ США сообщили о самых массовых увольнениях с 2009 года
"05 фев, 19:57",«Яндекс Путешествия» после ухода отелей объяснили увеличение комиссии«Яндекс Путешествия» после ухода отелей объяснили увеличение комиссии
"05 фев, 18:16",Эксперты оценили шансы на получение господдержки «Самолетом»
"05 фев, 17:11",Крупнейшие сети гостиниц отказались от работы через «Яндекс Путешествия»Крупнейшие сети гостиниц отказались от работы через «Яндекс Путешествия»
"04 фев, 22:34",Эксперты назвали два знака «Самолета» рынку за день — утром и вечером
"04 фев, 19:44",Девелопер «Самолет» объяснил обращение за господдержкойДевелопер «Самолет» объяснил обращение за господдержкой
"04 фев, 15:44","Суд взыскал с Бориса Минца, его сына и бизнес-партнера ₽61 млрдСуд взыскал с Бориса Минца, его сына и бизнес-партнера  ₽61 млрд"
"04 фев, 13:09","Полиция подтвердила, что на Кипре нашли мертвым БаумгертнераПолиция подтвердила, что на Кипре нашли мертвым Баумгертнера"
"04 фев, 11:47","ГТЛК, S7 и ОАК договорились о сотрудничестве по поставке Ту-214ГТЛК, S7 и ОАК договорились о сотрудничестве по поставке Ту-214"
"04 фев, 10:24",Илон Маск стал первым человеком в истории с состоянием больше $800 млрдИлон Маск стал первым человеком в истории с состоянием больше $800 млрд
"04 фев, 10:07",В Кузбассе оценили влияние схемы «вези или плати» на железной дорогеВ Кузбассе оценили влияние схемы «вези или плати» на железной дороге
"03 фев, 19:51",Walmart стала первым триллионером среди розничных сетейWalmart стала первым триллионером среди розничных сетей
"03 фев, 16:56",Генеральным директором Disney станет Джош Д'АмароГенеральным директором Disney станет Джош Д'Амаро
"03 фев, 14:32",В «досье Эпштейна» оказались статьи о крупнейших бизнесменах РоссииВ «досье Эпштейна» оказались статьи о крупнейших бизнесменах России
"03 фев, 14:04",Дуров после обыска в офисе X в Париже призвал не заблуждатьсяДуров после обыска в офисе X в Париже призвал не заблуждаться
"03 фев, 13:52",Прокуратура Франции вызвала Илона Маска на допросПрокуратура Франции вызвала Илона Маска на допрос
"03 фев, 12:30",Во Франции пришли с обысками в офис X Во Франции пришли с обысками в офис X
"03 фев, 10:08",Аэропорт Домодедово опроверг сообщения о сокращении работниковАэропорт Домодедово опроверг сообщения о сокращении работников
"03 фев, 04:29",Bloomberg узнал о проблемах с уплотнением двигателя на новом Boeing 777XBloomberg узнал о проблемах с уплотнением двигателя на новом Boeing 777X
"03 фев, 01:04",SpaceX объединилась с xAI для инноваций на Земле «и за ее пределами»SpaceX объединилась с xAI для инноваций на Земле «и за ее пределами»
"03 фев, 00:20",«Аэрофлот» увеличил цены по плоским тарифам на Дальний Восток«Аэрофлот» увеличил цены по плоским тарифам на Дальний Восток
"02 фев, 23:21","«Россети» сообщили, кого затронет новый механизм оплаты для потребителей«Россети» сообщили, кого затронет новый механизм оплаты для потребителей"
"02 фев, 14:47",Carlyle начал искать партнеров в ОАЭ ради сделки по активам ЛУКОЙЛаCarlyle начал искать партнеров в ОАЭ ради сделки по активам ЛУКОЙЛа
"02 фев, 13:15","Bloomberg узнал, кто станет следующим генеральным директором DisneyBloomberg узнал, кто станет следующим генеральным директором Disney"
"02 фев, 04:03",Как россияне в разы больше стали покупать антидепрессанты. ИнфографикаКак россияне в разы больше стали покупать антидепрессанты. Инфографика
"01 фев, 13:01",WSJ узнала о секретной сделке «шейха-шпиона» с криптокомпанией ТрампаWSJ узнала о секретной сделке «шейха-шпиона» с криптокомпанией Трампа
"01 фев, 09:12",«Были единичные брони»: как россияне поедут смотреть Олимпиаду в Италии«Были единичные брони»: как россияне поедут смотреть Олимпиаду в Италии
"01 фев, 07:55",Telegraph узнал о рекордном числе закрытий пивоварен в Британии за 50 лет
"01 фев, 07:07",Какая страна стала рекордсменом по закупке российской водки. ИнфографикаКакая страна стала рекордсменом по закупке российской водки. Инфографика
"31 янв, 21:37",NYT рассказала о стратегии инвесторов в США «Продавай Америку»NYT рассказала о стратегии инвесторов в США «Продавай Америку»
"31 янв, 19:34",Миллиардер из России поднялся в списке налогоплательщиков в БританииМиллиардер из России поднялся в списке налогоплательщиков в Британии
"31 янв, 15:42",Nvidia отказалась от инвестирования $100 млрд в разработчика ChatGPTNvidia отказалась от инвестирования $100 млрд в разработчика ChatGPT
"31 янв, 13:01",От первого пассажирского рейса до продажи: история аэропорта ДомодедовоОт первого пассажирского рейса до продажи: история аэропорта Домодедово
"30 янв, 21:14","WSJ узнала, что OpenAI планирует выйти на IPO к концу 2026 годаWSJ узнала, что OpenAI планирует выйти на IPO к концу 2026 года"
"30 янв, 17:22",Прокуратура опровергла связь Абрамовича с обысками в Deutsche BankПрокуратура опровергла связь Абрамовича с обысками в Deutsche Bank
"30 янв, 16:26",Власти Франции заблокировали продажу антенн Eutelsat частному инвестфондуВласти Франции заблокировали продажу антенн Eutelsat частному инвестфонду
"30 янв, 15:04",Убыток Raiffeisen Bank от бизнеса в России в 2025 году составил €86 млнУбыток Raiffeisen Bank от бизнеса в России в 2025 году составил €86 млн
"30 янв, 13:11","Эксперты рассказали, как изменилась посещаемость ТЦ и что покупают больше"
"30 янв, 10:55","Титов допустил возврат иностранных компаний, которые «скучают по Москве»"
"30 янв, 07:53",Bloomberg узнал о планах Маска объединить SpaceX с Tesla или ИИ-стартапомBloomberg узнал о планах Маска объединить SpaceX с Tesla или ИИ-стартапом
"30 янв, 02:03",Amazon начал переговоры об инвестировании $50 млрд в OpenAIФото:  VCG/Visual China Group/ТАСС
"29 янв, 22:19",Reuters узнал о планах слияния SpaceX перед IPO с ИИ-стартапом МаскаReuters узнал о планах слияния SpaceX перед IPO с ИИ-стартапом Маска
"29 янв, 21:55",Силуанов назвал проданный Домодедово хорошим активом для развитияСилуанов назвал проданный Домодедово хорошим активом для развития
"29 янв, 20:08",Эксперты оценили покупку Домодедово как стратегическую инвестицию
"29 янв, 19:58","Внуково объяснил, почему не вступил в торги на повышение цены ДомодедовоВнуково объяснил, почему не вступил в торги на повышение цены Домодедово"
"29 янв, 19:16","Шереметьево рассказал, какие средства использовал для покупки ДомодедовоШереметьево рассказал, какие средства использовал для покупки Домодедово"
"29 янв, 18:26",Минтранс заявил о необходимости значительных инвестиций в ДомодедовоМинтранс заявил о необходимости значительных инвестиций в Домодедово
"29 янв, 18:09",ПСБ и РТС-тендер назвали точную сумму продажи ДомодедовоПСБ и РТС-тендер назвали точную сумму продажи Домодедово
"29 янв, 17:26",Tenet опроверг данные о повреждении производства машин при пожареTenet опроверг данные о повреждении производства машин при пожаре
"29 янв, 17:18",Новым владельцем Домодедово стало Шереметьево Новым владельцем Домодедово стало Шереметьево
"29 янв, 17:13",Повторный аукцион по продаже активов аэропорта Домодедово закончилсяПовторный аукцион по продаже активов аэропорта Домодедово закончился
"29 янв, 16:18",Сделка ЛУКОЙЛ и Carlyle. Эксперты — о возможной стоимости и рисках
"29 янв, 15:29",Российские отели начнут проверять на звезды с помощью «тайных закупок»Российские отели начнут проверять на звезды с помощью «тайных закупок»
"29 янв, 13:53",Что известно о новом аукционе по продаже Домодедово. Эфир Радио РБК
"29 янв, 13:24",Вторая попытка продать Домодедово. Эксперты — о покупателях и долгах
"29 янв, 12:58",Бороться за активы Домодедово будут Внуково и ШереметьевоБороться за активы Домодедово будут Внуково и Шереметьево
"29 янв, 12:44",В Пулково перед продажей Домодедово назвали два его «идеальных» параметра
"29 янв, 12:12",Кредитор Домодедово сообщил о реструктуризации долга аэропорта
"29 янв, 10:49",Что инвестфонд Carlyle купил у ЛУКОЙЛаФото: lukoil.ru
"29 янв, 09:33",Инвестфонд Carlyle выкупит зарубежные активы ЛУКОЙЛа Инвестфонд Carlyle выкупит зарубежные активы ЛУКОЙЛа
"28 янв, 19:16",Rendez-Vous остановил работу бутика в Куршевеле после пожара в отелеRendez-Vous остановил работу бутика в Куршевеле после пожара в отеле
"28 янв, 18:08",Экс-менеджер ВТБ стал зампредом в одном из крупнейших банков КазахстанаЭкс-менеджер ВТБ стал зампредом в одном из крупнейших банков Казахстана
"28 янв, 17:20",Совфед принял закон о сносе ларьков на частной землеСовфед принял закон о сносе ларьков на частной земле
"28 янв, 16:15",ФАС сочла объединение Whoosh и «Юрент» ограничением конкуренцииФАС сочла объединение Whoosh и «Юрент» ограничением конкуренции
"28 янв, 15:56",Amazon уволит еще 16 тыс. сотрудников из-за ИИAmazon уволит еще 16 тыс. сотрудников из-за ИИ
"28 янв, 15:22",СК завел уголовное дело о взятках из-за ремонта вагоновСК завел уголовное дело о взятках из-за ремонта вагонов
"28 янв, 15:05",Минздрав заявил о низкой популярности доставки рецептурных препаратовМинздрав заявил о низкой популярности доставки рецептурных препаратов
"28 янв, 14:08",ОАК договорилась о поставке в Индию шести самолетов Ил-114-300ОАК договорилась о поставке в Индию шести самолетов Ил-114-300
"28 янв, 13:44",ОАК подписала договор о производстве Superjet 100 в ИндииОАК подписала договор о производстве Superjet 100 в Индии
"28 янв, 13:31",FT назвала сроки запуска крупнейшего IPO компании Маска SpaceXFT назвала сроки запуска крупнейшего IPO компании Маска SpaceX
"28 янв, 13:03",Ассоциация агрегаторов объяснила повышение комиссии для отельеровАссоциация агрегаторов объяснила повышение комиссии для отельеров
"27 янв, 23:15",Reuters узнал условие Chevron для покупки активов ЛУКОЙЛа в ИракеReuters узнал условие Chevron для покупки активов ЛУКОЙЛа в Ираке
"27 янв, 13:40",Шишкарев заявил о планах создать зерновой хаб в ОманеШишкарев заявил о планах создать зерновой хаб в Омане
"27 янв, 11:52",Судостроительная корпорация сменит главу производителя минных тральщиковСудостроительная корпорация сменит главу производителя минных тральщиков
"27 янв, 11:09",Десять аэропортов отменили отдельную плату за регистрацию пассажировДесять аэропортов отменили отдельную плату за регистрацию пассажиров
"27 янв, 00:01",В институте Минстроя назвали способ сократить путь на юг до 16 часовВ институте Минстроя назвали способ сократить путь на юг до 16 часов
"26 янв, 22:45",Сбой в системе бронирования российских авиакомпаний. Что произошлоСбой в системе бронирования российских авиакомпаний. Что произошло
"26 янв, 16:46",«Вкусвилл» рассказал о мерах после обнаружения бактерии в утенке табака«Вкусвилл» рассказал о мерах после обнаружения бактерии в утенке табака
"26 янв, 16:36",Российские авиакомпании столкнулись со сбоем системы бронированияРоссийские авиакомпании столкнулись со сбоем системы бронирования
"26 янв, 15:52",«Аэрофлот» сообщил об ограничении регистрации из-за сбоя «Аэрофлот» сообщил об ограничении регистрации из-за сбоя
"26 янв, 14:25",Bloomberg узнал о поисках «Норникелем» нового партнера для завода в КитаеBloomberg узнал о поисках «Норникелем» нового партнера для завода в Китае
"26 янв, 13:37",Принадлежащий «Роскосмосу» завод в Челябинской области выставили на торгиПринадлежащий «Роскосмосу» завод в Челябинской области выставили на торги
"26 янв, 12:20",Каменщик обратился в Верховный суд из-за передачи Домодедово государствуКаменщик обратился в Верховный суд из-за передачи Домодедово государству
"26 янв, 12:13",Uniper подала иск к «Газпрому» из-за газа для «Северного потока»Uniper подала иск к «Газпрому» из-за газа для «Северного потока»
"26 янв, 12:11",Из-за холодов запасы газа в Европе упали на 15% ниже обычногоИз-за холодов запасы газа в Европе упали на 15% ниже обычного
"25 янв, 11:32",Продажи антидепрессантов в аптеках выросли в четыре раза за семь летПродажи антидепрессантов в аптеках выросли в четыре раза за семь лет
"24 янв, 00:38",Две европейские авиакомпании приостановили рейсы на Ближний ВостокФото: Zuma\ТАСС
"23 янв, 20:05",Изъятые активы владельца «Кириешек» перешли в управление РСХБИзъятые активы владельца «Кириешек» перешли в управление РСХБ
"23 янв, 20:00",Бакинский метрополитен снизит зависимость от российских поездовБакинский метрополитен снизит зависимость от российских поездов
"23 янв, 15:16",Rheinmetall обозначил новые цели на фоне роста расходов на оборонуRheinmetall обозначил новые цели на фоне роста расходов на оборону
"23 янв, 11:08",Суд удовлетворил иск Амурского ГПЗ к Linde из-за пожаровСуд удовлетворил иск Амурского ГПЗ к Linde из-за пожаров
"22 янв, 22:27",Трамп подал иск против JPMorgan на $5 млрд из-за отказа его обслуживатьТрамп подал иск против JPMorgan на $5 млрд из-за отказа его обслуживать
"22 янв, 17:08",Шереметьево подало заявку на покупку ДомодедовоШереметьево подало заявку на покупку Домодедово
"22 янв, 16:16",Совладелец Внуково заявил о заявке на участие в покупке ДомодедовоСовладелец Внуково заявил о заявке на участие в покупке Домодедово
"22 янв, 15:35","Участник первого аукциона на Домодедово: «Поприкалывались, и хватит»Участник первого аукциона на Домодедово: «Поприкалывались, и хватит»"
"22 янв, 12:54",Продюсер Радио РБК подал заявку на аукцион по продаже Домодедово
"22 янв, 09:19",Шохин призвал начать «подогрев» российской экономикиШохин призвал начать «подогрев» российской экономики
"22 янв, 08:02",«Лента» объявила о ребрендинге OBI«Лента» объявила о ребрендинге OBI
"22 янв, 01:29",Начался прием заявок на участие в новом аукционе по продаже ДомодедовоНачался прием заявок на участие в новом аукционе по продаже Домодедово
