date,text
"09 фев, 20:01",ЦБ объяснил цель единой базы данных банковских карт россиянЦБ объяснил цель единой базы данных банковских карт россиян
"09 фев, 19:34",В Госдуме предложили доработать поправки о лимите банковских картВ Госдуме предложили доработать поправки о лимите банковских карт
"09 фев, 17:44",Центробанк создаст единую базу данных банковских карт россиянЦентробанк создаст единую базу данных банковских карт россиян
"09 фев, 12:43",Бывшего главу Росэнергобанка приговорили к 11 годам за хищение ₽3 млрдБывшего главу Росэнергобанка приговорили к 11 годам за хищение ₽3 млрд
"09 фев, 11:18",В Европе увидели угрозу в зависимости от Visa и MastercardВ Европе увидели угрозу в зависимости от Visa и Mastercard
"08 фев, 17:30",NYT рассказала о союзе биржи Binance и криптокомпании семьи ТрампаNYT рассказала о союзе биржи Binance и криптокомпании семьи Трампа
"08 фев, 11:54",В какую страну не упал поток переводов из России. ИнфографикаВ какую страну не упал поток переводов из России. Инфографика
"07 фев, 15:32",WSJ рассказала о недоумении рынка из-за наступления «криптозимы»WSJ рассказала о недоумении рынка из-за наступления «криптозимы»
"07 фев, 12:03",Криптобиржа Bithumb по ошибке перечислила пользователям более $40 млрдКриптобиржа Bithumb по ошибке перечислила пользователям более $40 млрд
"07 фев, 09:01","Президент ГК «Финам» рассказал, какая книга важна для управленца "
"06 фев, 17:27",The Economist поместил на обложку змею и предупредил о коварности доллараThe Economist поместил на обложку змею и предупредил о коварности доллара
"06 фев, 16:59",Международные резервы России подскочили на 10% и достигли нового рекордаМеждународные резервы России подскочили на 10% и достигли нового рекорда
"06 фев, 15:26","ЦБ рассказал, из-за чего россияне чаще всего жаловались на банкиЦБ рассказал, из-за чего россияне чаще всего жаловались на банки"
"06 фев, 13:26",Российские экспортеры резко сократили продажи валюты на внутреннем рынкеРоссийские экспортеры резко сократили продажи валюты на внутреннем рынке
"06 фев, 12:31",ЦБ раскрыл объем купленной россиянами валюты в 2025 годуЦБ раскрыл объем купленной россиянами валюты в 2025 году
"06 фев, 11:13",«Главпродукт» перешел под управление Россельхозбанка«Главпродукт» перешел под управление Россельхозбанка
"06 фев, 00:21","Reuters узнал о подготовке «Сбером» кредитов, обеспеченных криптовалютойReuters узнал о подготовке «Сбером» кредитов, обеспеченных криптовалютой"
"05 фев, 21:38",Курс биткоина упал на 10% за деньКурс биткоина упал на 10% за день
"05 фев, 21:31",ЦБ пошел на уступки МФО после требования по биометрииЦБ пошел на уступки МФО после требования по биометрии
