date,title
2026-02-09,ЦБ создаст единую базу банковских карт россиян
2026-02-09,"Банк России повысил курсы доллара, евро и юаня"
2026-02-09,"Средняя максимальная ставка по вкладам в топ-10 банков снизилась до 14,57%"
2026-02-09,"Выдачи семейной ипотеки в Сбербанке выросли в 5,6 раза в январе"
2026-02-05,05.02.2026 Об изменениях с полисом ОСАГО предлагают уведомлять через «Госуслуги»
2026-02-05,05.02.2026 ЦБ пошел на уступки МФО из-за обязательного требования применять биометрию
2026-02-05,05.02.2026 Банки недооценивают риски вложений в нефинансовые «дочки»
2026-02-05,05.02.2026 Банки раскрыли долю альтернативных способов оплаты за 2025 год
2026-02-04,04.02.2026 Россияне обналичили в магазинах 28 млрд рублей в первом полугодии 2025 года
2026-02-03,03.02.2026 Для иностранных граждан могут упростить получение банковских и сим-карт
2026-02-03,03.02.2026 Коллекторы купили рекордный объем просроченных микрозаймов в 2025 году
2026-02-03,"03.02.2026 Банки заработали 3,5 трлн рублей в 2025 году"
2026-02-02,02.02.2026 Приставы не смогут арестовывать имущество граждан при маленькой сумме долга
2026-02-02,02.02.2026 Что известно о кризисе в майнинговой компании BitRiver
2026-02-02,02.02.2026 В УК появится новая статья об ответственности для иностранных банков
2026-01-21,21.01.2026 IDF Eurasia объединяет активы в финансовую группу под брендом «Свой»
2026-01-20,"20.01.2026 Имущественные требования на цифровую валюту подлежат судебной защите, решил КС"
2026-01-20,20.01.2026 Сбербанк третий год подряд заработал рекордную прибыль
2026-01-19,19.01.2026 МФО обсуждают с ЦБ альтернативные пути для работы с обязательной биометрией
2026-01-15,15.01.2026 Почему отдельные банки приостанавливают прием заявок по семейной ипотеке
2026-01-14,14.01.2026 Новикомбанк из группы «Ростеха» получил кредитный рейтинг в Китае
2026-01-14,14.01.2026 Страховой рынок ждет рост в 2026 году
2026-01-12,12.01.2026 Финразведка повысит сумму контролируемых сделок с недвижимостью до 75 млн рублей
2026-01-11,11.01.2026 Структуры «Интер РАО» и Грузия урегулировали тарифный спор
2026-01-11,11.01.2026 На рынке МФО начались существенные перемены
2025-12-31,31.12.2025 «Я заглядываю под кожу экономик»: путь финансистки Кристин Лагард
2026-02-09,"09.02.2026 Эксперты Kept ждут кратного роста сделок с проблемными активами Ежегодно их объем в среднесрочной перспективе может составлять 1,5–2 трлн рублей"
2026-02-07,07.02.2026 МИД Канады прокомментировал претензии миллиардера Макарова
2026-02-06,06.02.2026 Через СБП прошло 103 трлн рублей в 2025 году
2026-02-06,"06.02.2026 Выдачи ипотеки выросли в 2,7 раза в январе"
2026-02-05,05.02.2026 Отказавшийся от российского паспорта миллиардер инициировал арбитраж с Канадой
2026-02-09,"ВТБ снизил минимальный первый взнос по рыночной ипотеке до 20,1%"
2026-02-09,"Чистая прибыль Сбербанка выросла на 21,7% в январе"
2026-02-09,Банки
2026-01-29,29.01.2026 Сбербанк зафиксировал снижение объемов хищения средств у граждан
2026-01-28,28.01.2026 ЦБ просит перенести окончательное подключение банков к СМЭВ
2026-01-28,28.01.2026 ВТБ снизил ставки по рыночной ипотеке
2026-02-09,Рынки
2025-12-25,25.12.2025 Что будет с российским фондовым рынком в 2026 году
2025-12-05,05.12.2025 Как отмена лимитов на валютные переводы для граждан отразится на курсе
2025-12-02,02.12.2025 ВТБ планирует покупать новые ОФЗ в юанях
2025-12-01,01.12.2025 Центробанк перечислил трудности внедрения биометрии в МФО
2026-02-09,Страхование
2025-12-07,07.12.2025 «Согаз» добился возбуждения уголовного дела за фиктивные услуги в ДМС
2025-11-30,30.11.2025 Как расширение тарифного коридора повлияет на стоимость ОСАГО
2025-11-28,28.11.2025 Страховщики заинтересовались установкой систем передачи данных силовикам
2026-02-09,Профучастники
2025-12-16,16.12.2025 Госдума ужесточила правила выдачи микрозаймов
2025-12-29,29.12.2025 Чего банки ждут от 2026 года
2025-12-28,28.12.2025 Что ждет ипотечное кредитование в 2026 году
2025-12-25,25.12.2025 Концепция войны
2025-12-25,25.12.2025 Сбербанк упоминался «Ведомостями» в 2025 году чаще других организаций
2025-12-24,24.12.2025 До 15 млн граждан могут лишиться доступа к микрозаймам
2025-12-23,23.12.2025 Средняя цена досудебной просрочки МФО достигла годового максимума
2025-12-22,22.12.2025 Связанный с совладельцем «Яндекса» фонд хотят выдавить из нидерландской компании
2025-12-22,"22.12.2025 Cредний платеж самозанятых коллекторам на 25% выше, чем у банковских должников"
2025-12-21,21.12.2025 Банки почти не отреагировали на снижение ключевой ставки
2025-12-19,19.12.2025 Вкладывают роботы
2025-12-18,18.12.2025 Экс-владелец СМЗ и Ловозерского ГОКа требует в суде $1 млрд за изъятые доли
2025-12-16,16.12.2025 Почти девять из 10 платежей россиян производятся безналично
2025-12-14,14.12.2025 Чем обернется эскалация ситуации вокруг суверенных активов России
2025-12-11,11.12.2025 «Траст» отстоял юрисдикцию для спора с международными трейдерами и Шишхановым
2025-12-11,11.12.2025 Греф призвал «выходить из песочницы» и разрешить расчеты в стейблкойнах в России
2025-12-10,10.12.2025 «Сбер» хочет сохранить высокую рентабельность и достаточность капитала
2025-12-09,09.12.2025 Росфинмониторинг будет получать от НСПК данные о транзакциях через СБП и QR-коды
2025-12-08,08.12.2025 Греф предложил уравнять налогообложение маркетплейсов и офлайн-магазинов
2025-12-08,08.12.2025 Бывший акционер СМЗ пожаловался на девелопера Смагина в АП и ФНС
2025-12-07,07.12.2025 В Нидерландах арестовали активы оператора «Турецкого потока»
2025-12-04,04.12.2025 Росфинмониторинг прокомментировал внесение России в список стран высокого риска
2025-12-03,03.12.2025 Как рубль отреагирует на резкое увеличение объема продаж валюты Минфином
2025-12-02,02.12.2025 Кто слушал выступление Путина на инвестфоруме ВТБ «Россия зовет!»
2025-12-01,01.12.2025 Доля отказов по заявкам на потребительские кредиты растет два месяца подряд
2025-12-01,"01.12.2025 Россияне могут заработать 9,5 трлн рублей на вкладах в 2025 году"
2025-11-30,30.11.2025 Средний размер купленного коллекторами у банков долга вырос до рекорда трех лет
2025-11-28,"28.11.2025 ВТБ сократил чистую прибыль в октябре на 11,1% год к году"
2025-11-27,27.11.2025 Минцифры и МВД не поддержали идеи ЦБ по аутентификации клиентов МФО по биометрии
2025-11-27,27.11.2025 Коэффициент долговой нагрузки бизнеса обновил максимум четырех лет
2025-11-25,25.11.2025 На платформе цифрового рубля проверят соблюдение антиотмывочных норм
2025-11-24,24.11.2025 Михаил Фридман инициировал арбитраж с Великобританией
2025-11-23,23.11.2025 Мошенничества с завышением стоимости иномарок при покупке каско стало больше
2025-11-21,21.11.2025 Конфликт из-за скидок на маркетплейсах вышел на новый уровень
2025-11-20,20.11.2025 ЦБ допустил создание платформ обмена данными для развития ИИ
2025-11-20,20.11.2025 Крупная российская МФО начала выдавать микрозаймы трудовым мигрантам
2025-11-20,20.11.2025 «Займер» планирует приобрести две цифровые платформы у Qiwi
2025-11-18,18.11.2025 Мосбиржа предрекла IT-отрасли год консолидации
2025-11-18,18.11.2025 Клиентоцентричность в финансовом секторе достигла зрелости
2025-11-17,17.11.2025 Экспобанк оспорил европейские санкции в суде ЕС
2025-11-17,17.11.2025 Депутаты отказались от замены страховщиков терфондами ОМС
2025-11-16,16.11.2025 Совкомбанк отчитался выше ожиданий
2025-11-13,13.11.2025 Темпы роста рынка легальных ставок на спорт в 2025 году замедлились
2025-11-13,13.11.2025 Конституционный суд решил установить критерии определения размера взносов в СФУ
2025-11-13,13.11.2025 В России растет спрос на полисы на случай онкозаболеваний
2025-11-12,12.11.2025 В Англии завершается процесс по спору управляющей банкротством Беджамова за его виллу
2025-11-11,11.11.2025 Выплаты по страхованию жизни продолжили расти быстрее сборов
2025-11-11,11.11.2025 Т-банк запустил переводы на кошельки Alipay и WeChat Pay
2025-11-10,10.11.2025 Доля просрочки до 90 дней сократилась до уровня прошлого года
2025-11-10,10.11.2025 Правительство поддержало запрет приема ставок с кредитных карт
2025-11-09,09.11.2025 Генеральный адвокат суда ЕС встал на сторону Фридмана и Авена
